day1 	 day2 	 idMeta 	 experiment_date
8    	 11   	 1041   	 2016-04-13
11   	 1    	 1048   	 2016-04-27
11   	 1    	 1049   	 2016-04-27
6    	 2    	 1052   	 2016-04-27
5    	 1    	 1055   	 2016-04-27
4    	 2    	 1062   	 2016-04-27
6    	 1    	 1063   	 2016-04-27
5    	 1    	 1081   	 2016-05-11
5    	 1    	 1082   	 2016-05-11
10   	 1    	 1083   	 2016-05-11
4    	 1    	 1084   	 2016-05-11
4    	 1    	 1085   	 2016-05-11
3    	 1    	 1086   	 2016-05-11
3    	 2    	 2302   	 2016-06-01
2    	 1    	 2303   	 2016-06-01
11   	 7    	 2319   	 2016-06-08
6    	 9    	 2320   	 2016-06-08
6    	 2    	 2324   	 2016-06-15
9    	 6    	 2326   	 2016-06-22
7    	 4    	 2327   	 2016-06-22
15   	 8    	 2333   	 2016-06-29
9    	 7    	 2334   	 2016-06-29
11   	 11   	 2344   	 2016-07-06
10   	 10   	 2345   	 2016-07-06
8    	 5    	 2356   	 2016-07-20
7    	 3    	 2357   	 2016-07-13
4    	 2    	 2359   	 2016-07-13
9    	 5    	 2369   	 2016-07-20
12   	 10   	 2385   	 2016-07-27
14   	 5    	 2398   	 2017-01-11
3    	 7    	 2399   	 2017-01-11
9    	 8    	 2400   	 2017-01-11
8    	 7    	 2405   	 2016-08-10
8    	 6    	 2407   	 2016-08-10
4    	 6    	 2416   	 2016-08-17
5    	 6    	 2417   	 2016-08-17
6    	 5    	 2418   	 2016-08-17
4    	 6    	 2419   	 2016-08-17
7    	 9    	 2421   	 2016-08-17
9    	 10   	 2423   	 2016-08-17
7    	 1    	 2424   	 2016-08-17
3    	 2    	 2426   	 2016-08-17
9    	 11   	 2428   	 2016-08-24
9    	 7    	 2434   	 2016-08-24
4    	 5    	 2435   	 2016-08-24
5    	 17   	 2438   	 2016-08-20
8    	 1    	 2451   	 2016-09-07
4    	 1    	 2453   	 2016-09-07
8    	 4    	 2458   	 2016-09-28
7    	 4    	 2459   	 2016-09-28
7    	 5    	 2466   	 2016-09-21
7    	 7    	 2468   	 2016-09-21
1    	 5    	 2481   	 2016-10-05
3    	 4    	 2483   	 2016-10-05
6    	 3    	 2484   	 2016-10-05
13   	 8    	 2487   	 2016-10-05
7    	 7    	 2489   	 2016-10-05
6    	 8    	 2490   	 2016-10-05
9    	 4    	 2492   	 2016-10-05
6    	 7    	 2495   	 2016-10-07
16   	 3    	 2510   	 2016-10-12
6    	 6    	 2511   	 2016-10-12
7    	 5    	 2515   	 2016-10-19
6    	 5    	 2516   	 2016-10-19
6    	 5    	 2517   	 2016-10-19
16   	 13   	 2520   	 2016-10-21
10   	 2    	 2521   	 2016-10-21
3    	 7    	 2523   	 2016-10-26
8    	 5    	 2524   	 2016-10-26
4    	 4    	 2525   	 2016-10-26
8    	 4    	 2526   	 2016-10-26
4    	 2    	 2532   	 2016-11-02
6    	 7    	 2533   	 2016-11-02
2    	 4    	 2539   	 2016-11-02
2    	 5    	 2540   	 2016-11-02
7    	 7    	 2542   	 2016-11-04
7    	 7    	 2543   	 2016-11-04
11   	 8    	 2550   	 2016-11-09
4    	 3    	 2551   	 2016-11-09
4    	 2    	 2558   	 2016-11-11
10   	 2    	 2559   	 2016-11-11
8    	 4    	 2560   	 2016-11-11
13   	 5    	 2575   	 2016-11-16
1    	 3    	 2576   	 2016-11-16
5    	 2    	 2583   	 2016-11-18
10   	 5    	 2589   	 2016-11-23
11   	 9    	 2590   	 2016-11-23
9    	 5    	 2592   	 2016-11-23
5    	 3    	 2593   	 2016-11-23
4    	 3    	 2597   	 2016-11-23
4    	 3    	 2599   	 2016-11-25
4    	 3    	 2600   	 2016-11-25
3    	 1    	 2602   	 2016-11-25
5    	 2    	 2612   	 2016-12-02
6    	 2    	 2618   	 2016-12-02
6    	 1    	 2620   	 2016-12-05
16   	 8    	 2621   	 2016-12-05
6    	 7    	 2628   	 2016-12-06
6    	 6    	 2629   	 2016-12-06
2    	 2    	 2630   	 2016-12-08
4    	 1    	 2631   	 2016-12-08
6    	 1    	 2633   	 2016-12-09
7    	 5    	 2635   	 2016-12-09
14   	 6    	 2651   	 2016-12-13
4    	 5    	 2657   	 2016-12-14
3    	 7    	 2663   	 2016-12-09
3    	 6    	 2664   	 2016-12-09
19   	 15   	 2667   	 2016-12-09
5    	 11   	 2669   	 2016-12-09
9    	 9    	 2674   	 2016-12-19
5    	 5    	 2676   	 2016-12-19
7    	 2    	 2677   	 2016-12-19
16   	 1    	 2680   	 2016-12-20
2    	 2    	 2683   	 2016-12-20
10   	 5    	 2688   	 2016-12-21
6    	 5    	 2689   	 2016-12-21
12   	 7    	 2691   	 2016-12-22
5    	 5    	 2695   	 2016-12-23
5    	 1    	 2699   	 2017-01-06
7    	 1    	 2700   	 2017-01-06
11   	 5    	 2717   	 2017-01-10
13   	 3    	 2718   	 2017-01-10
7    	 12   	 2720   	 2017-01-10
7    	 10   	 2721   	 2017-01-10
17   	 18   	 2723   	 2017-01-11
22   	 19   	 2724   	 2017-01-11
8    	 4    	 2726   	 2017-01-11
14   	 13   	 2727   	 2017-01-11
6    	 4    	 2729   	 2017-01-11
3    	 7    	 2731   	 2017-01-11
11   	 13   	 2734   	 2017-01-13
3    	 7    	 2735   	 2017-01-13
4    	 3    	 2736   	 2017-01-13
10   	 10   	 2741   	 2017-01-16
15   	 3    	 2744   	 2017-01-16
7    	 3    	 2748   	 2017-01-17
1    	 3    	 2749   	 2017-01-17
4    	 6    	 2750   	 2017-01-17
17   	 22   	 2752   	 2017-01-17
7    	 5    	 2754   	 2017-01-18
7    	 6    	 2760   	 2017-01-18
5    	 5    	 2761   	 2017-01-18
6    	 7    	 2767   	 2017-01-20
6    	 8    	 2774   	 2017-01-23
4    	 11   	 2775   	 2017-01-23
23   	 15   	 2777   	 2017-01-24
14   	 11   	 2778   	 2017-01-24
11   	 6    	 2782   	 2017-01-25
6    	 5    	 2783   	 2017-01-25
3    	 3    	 2788   	 2017-01-25
4    	 9    	 2789   	 2017-01-25
3    	 5    	 2791   	 2017-01-27
5    	 10   	 2792   	 2017-01-27
2    	 3    	 2794   	 2017-01-25
10   	 7    	 2801   	 2017-02-01
10   	 10   	 2802   	 2017-02-01
9    	 4    	 2803   	 2017-02-01
15   	 9    	 2804   	 2017-02-01
9    	 3    	 2806   	 2017-02-03
6    	 1    	 2808   	 2017-02-03
7    	 8    	 2809   	 2017-02-03
3    	 2    	 2812   	 2017-02-03
3    	 2    	 2814   	 2017-02-06
10   	 6    	 2817   	 2017-02-06
12   	 2    	 2818   	 2017-02-06
5    	 1    	 2819   	 2017-02-06
7    	 12   	 2821   	 2017-02-08
8    	 2    	 2822   	 2017-02-08
8    	 2    	 2851   	 2017-02-10
12   	 9    	 2858   	 2017-02-13
4    	 8    	 2859   	 2017-02-13
11   	 7    	 2864   	 2017-02-13
9    	 5    	 2865   	 2017-02-13
11   	 8    	 2867   	 2017-02-15
20   	 13   	 2870   	 2017-02-15
4    	 6    	 2881   	 2017-02-20
5    	 7    	 2882   	 2017-02-20
6    	 9    	 2922   	 2017-02-24
3    	 10   	 2999   	 2017-03-16
11   	 9    	 3000   	 2017-03-16
6    	 5    	 3001   	 2017-03-16
4    	 1    	 3002   	 2017-03-16
24   	 27   	 3011   	 2017-03-20
24   	 18   	 3012   	 2017-03-20
19   	 15   	 3013   	 2017-03-20
13   	 4    	 3016   	 2017-03-20
6    	 7    	 3032   	 2017-03-24
2    	 4    	 3033   	 2017-03-24
3    	 3    	 3035   	 2017-01-27
19   	 25   	 3038   	 2017-03-24
12   	 10   	 3040   	 2017-03-24
2    	 2    	 3045   	 2017-03-27
6    	 3    	 3047   	 2017-03-29
8    	 1    	 3048   	 2017-03-29
